city,longitude,postal_code,stars,latitude
mesa,-111.7884179,85204.0,5.0,33.4091719
mesa,-111.7872721,85204.0,3.5,33.3939166
mesa,-111.7853334,85213.0,3.5,33.4152896
mesa,-111.6004045,85209.0,2.0,33.3823625
mesa,-111.6791041,85208.0,3.0,33.3856312
mesa,-111.6332808,85208.0,5.0,33.3996663
mesa,-111.8607481,85202.0,4.0,33.4076344
mesa,-111.783074,85204.0,4.0,33.37947
mesa,-111.754119247,85204.0,5.0,33.3800925314
mesa,-111.810915,85204.0,4.5,33.3825606
mesa,-111.720953733,85206.0,1.5,33.3951410306
mesa,-111.6903269,85206.0,1.5,33.390567
mesa,-111.6871763,85215.0,2.0,33.4523048
mesa,-111.879699153,85201.0,2.0,33.4145178821
mesa,-111.862526,85201.0,5.0,33.41554
mesa,-111.856315,85201.0,4.0,33.442883
mesa,-111.8415953,85201.0,3.5,33.4149169
mesa,-111.859208,85210.0,2.5,33.376815
mesa,-111.7384405,85215.0,5.0,33.4514921
mesa,-111.7347647,85205.0,3.5,33.4171911
mesa,-111.733754,85205.0,4.5,33.423681
mesa,-111.7180219,85206.0,2.0,33.3943602
mesa,-111.7386321,85206.0,3.5,33.4078163
mesa,-111.6349052,85212.0,1.5,33.3639642
mesa,-111.7890334,85203.0,2.5,33.4371712
mesa,-111.8167656,85203.0,3.5,33.4146238
mesa,-111.7014499,85206.0,3.0,33.3934084
mesa,-111.7063156,85206.0,3.0,33.3827486
mesa,-111.703225,85206.0,3.5,33.380918
mesa,-111.8391838,85210.0,5.0,33.3810889
mesa,-111.770444746,85213.0,3.0,33.4507078069
mesa,-111.8756728,85202.0,1.5,33.4072412
mesa,-111.753268,85204.0,3.5,33.3927539
mesa,-111.7533458,85204.0,4.0,33.3806444
mesa,-111.8122674,85204.0,3.0,33.3929914
mesa,-111.8394439,85201.0,4.5,33.4198793
mesa,-111.82412,85201.0,4.0,33.4343748
mesa,-111.6976298,85201.0,3.0,33.3928627
mesa,-111.842749827,85210.0,3.0,33.3802298018
mesa,-111.839987,85210.0,2.0,33.390448
mesa,-111.839257,85210.0,3.0,33.381039
mesa,-112.0696933,85204.0,3.5,33.4564096
mesa,-111.7463404,85205.0,3.5,33.4150464
mesa,-111.685086857,85209.0,5.0,33.3798581914
mesa,-111.5988168,85209.0,2.5,33.3808145
mesa,-111.6769284,85209.0,3.0,33.3924498
mesa,-111.6662197,85209.0,4.0,33.3804062
mesa,-111.656606,85207.0,5.0,33.471174
mesa,-111.602343,85212.0,5.0,33.358642
mesa,-111.866169406,85201.0,4.0,33.4353686103
mesa,-111.724203,85215.0,3.5,33.451319
mesa,-111.6904486,85206.0,2.5,33.3798686
mesa,-111.6852144,85206.0,2.5,33.4091033
mesa,-111.6880531,85206.0,3.5,33.3848688
mesa,-111.726882,85205.0,4.0,33.4149445
mesa,-111.642224,85207.0,4.5,33.459458
mesa,-111.689858752,85206.0,4.0,33.3906732666
mesa,-111.8395605,85210.0,2.0,33.387693
mesa,-111.850070188,85210.0,5.0,33.3794608732
mesa,-111.77843681,85213.0,3.5,33.4432768417
mesa,-111.8643181,85201.0,5.0,33.4356815
mesa,-111.8357942,85201.0,4.5,33.4154786
mesa,-111.8793438,85201.0,3.5,33.414983
mesa,-111.8299458,85210.0,1.0,33.3792343
mesa,-111.8449346,85210.0,5.0,33.3902569
mesa,-111.616242,85208.0,5.0,33.3947652
mesa,-111.8724945,85202.0,2.0,33.3990218
mesa,-111.8687698,85202.0,4.0,33.4108304
mesa,-111.8104828,85204.0,4.5,33.3929484
mesa,-111.880053,85202.0,4.0,33.40807
mesa,-111.8809087,85202.0,5.0,33.3734669
mesa,-111.8850253,85202.0,4.5,33.4099099
mesa,-111.7801932,85204.0,2.0,33.3929515
mesa,-111.7902823,85204.0,4.0,33.4082719
mesa,-111.8081946,85204.0,5.0,33.3832784
mesa,-111.7891082,85204.0,4.5,33.4093391
mesa,-111.805094,85204.0,4.5,33.3967881
mesa,-111.8120883,85204.0,5.0,33.3798261
mesa,-111.8071854,85204.0,2.0,33.3879468
mesa,-111.7183679,85205.0,3.0,33.4368843
mesa,-111.8683119,85202.0,2.0,33.393794
